Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Klipsch KG-100,GHM,Klipsch KG-100,Klipsch KG-100,699.000000,,,,,,,,Y
,Klipsch R6 On-Ear,HS,Klipsch R6 On-Ear,Klipsch R6 On-Ear,699.000000,,,,,,,,Y
,Klipsch R6i On-Ear,HMS,Klipsch R6i On-Ear,Klipsch R6i On-Ear,749.000000,,,,,,,,Y
,Klipsch Groove,T,Klipsch Groove,Klipsch Groove,1299.000000,,,,,,,,Y
,Klipsch KMC 1 Black,T,Klipsch KMC 1 Black,Klipsch KMC 1 Black,2199.000000,,,,,,,,Y
,Klipsch KMC 1 White,T,Klipsch KMC 1 White,Klipsch KMC 1 White,2199.000000,,,,,,,,Y
,Delock minijack 3,5 mm til 2 x hun minijack 3pins 25cm,KT,Delock minijack 3,5 mm til 2 x hun minijack 3pins 25cm,Delock minijack 3,5 mm til 2 x hun minijack 3pins 25cm,99.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Sort,KT,Belkin 3,5 mm/3,5 mm jack 1,8 meter Sort,Belkin 3,5 mm/3,5 mm jack 1,8 meter Sort,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Rød,KT,Belkin 3,5 mm/3,5 mm jack 1,8 meter Rød,Belkin 3,5 mm/3,5 mm jack 1,8 meter Rød,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Blå,KT,Belkin 3,5 mm/3,5 mm jack 1,8 meter Blå,Belkin 3,5 mm/3,5 mm jack 1,8 meter Blå,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Grøn,KT,Belkin 3,5 mm/3,5 mm jack 1,8 meter Grøn,Belkin 3,5 mm/3,5 mm jack 1,8 meter Grøn,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Lilla,KT,Belkin 3,5 mm/3,5 mm jack 1,8 meter Lilla,Belkin 3,5 mm/3,5 mm jack 1,8 meter Lilla,249.000000,,,,,,,,Y
,Griffin Cables 3,5 mm jack/jack coiled,KT,Griffin Cables 3,5 mm jack/jack coiled,Griffin Cables 3,5 mm jack/jack coiled,399.000000,,,,,,,,Y
