Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Klipsch KG-100,Gaming Hovedtelefoner Microphone ,Klipsch KG-100,Klipsch KG-100,699.000000,,,,,,,,Y
,Klipsch R6 On-Ear,Hovedtelefoner Street ,Klipsch R6 On-Ear,Klipsch R6 On-Ear,699.000000,,,,,,,,Y
,Klipsch R6i On-Ear,Hovedtelefoner Microphone Street ,Klipsch R6i On-Ear,Klipsch R6i On-Ear,749.000000,,,,,,,,Y
,Klipsch Groove,Trådløse højtalere ,Klipsch Groove,Klipsch Groove,1299.000000,,,,,,,,Y
,Klipsch KMC 1 Black,Trådløse højtalere ,Klipsch KMC 1 Black,Klipsch KMC 1 Black,2199.000000,,,,,,,,Y
,Klipsch KMC 1 White,Trådløse højtalere ,Klipsch KMC 1 White,Klipsch KMC 1 White,2199.000000,,,,,,,,Y
,Delock minijack 3,5 mm til 2 x hun minijack 3pins 25cm,Kabler og stik Tilbehør ,Delock minijack 3,5 mm til 2 x hun minijack 3pins 25cm,Delock minijack 3,5 mm til 2 x hun minijack 3pins 25cm,99.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Sort,Kabler og stik Tilbehør ,Belkin 3,5 mm/3,5 mm jack 1,8 meter Sort,Belkin 3,5 mm/3,5 mm jack 1,8 meter Sort,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Rød,Kabler og stik Tilbehør ,Belkin 3,5 mm/3,5 mm jack 1,8 meter Rød,Belkin 3,5 mm/3,5 mm jack 1,8 meter Rød,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Blå,Kabler og stik Tilbehør ,Belkin 3,5 mm/3,5 mm jack 1,8 meter Blå,Belkin 3,5 mm/3,5 mm jack 1,8 meter Blå,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Grøn,Kabler og stik Tilbehør ,Belkin 3,5 mm/3,5 mm jack 1,8 meter Grøn,Belkin 3,5 mm/3,5 mm jack 1,8 meter Grøn,249.000000,,,,,,,,Y
,Belkin 3,5 mm/3,5 mm jack 1,8 meter Lilla,Kabler og stik Tilbehør ,Belkin 3,5 mm/3,5 mm jack 1,8 meter Lilla,Belkin 3,5 mm/3,5 mm jack 1,8 meter Lilla,249.000000,,,,,,,,Y
,Griffin Cables 3,5 mm jack/jack coiled,Kabler og stik Tilbehør ,Griffin Cables 3,5 mm jack/jack coiled,Griffin Cables 3,5 mm jack/jack coiled,399.000000,,,,,,,,Y
,Delock Stereo minijack han 3,5 mm / hun 6,3 mm stereo jack,Kabler og stik Tilbehør ,Delock Stereo minijack han 3,5 mm / hun 6,3 mm stereo jack,Delock Stereo minijack han 3,5 mm / hun 6,3 mm stereo jack,69.000000,,,,,,,,Y
,Delock Stereo jack han 6,35 mm / hun 3,5 mm minijack,Kabler og stik Tilbehør ,Delock Stereo jack han 6,35 mm / hun 3,5 mm minijack,Delock Stereo jack han 6,35 mm / hun 3,5 mm minijack,69.000000,,,,,,,,Y
,Delock Jack 3,5 mm han/hun iPhone 4p 1 meter,Kabler og stik Tilbehør ,Delock Jack 3,5 mm han/hun iPhone 4p 1 meter,Delock Jack 3,5 mm han/hun iPhone 4p 1 meter,89.000000,,,,,,,,Y
,Belkin RockStar Headphone splitter Sort,Kabler og stik Tilbehør ,Belkin RockStar Headphone splitter Sort,Belkin RockStar Headphone splitter Sort,349.000000,,,,,,,,Y
,Belkin RockStar Headphone splitter Pink,Kabler og stik Tilbehør ,Belkin RockStar Headphone splitter Pink,Belkin RockStar Headphone splitter Pink,349.000000,,,,,,,,Y
,Belkin 3,5mm Stereo Audio kabel Grøn,Kabler og stik Tilbehør ,Belkin 3,5mm Stereo Audio kabel Grøn,Belkin 3,5mm Stereo Audio kabel Grøn,249.000000,,,,,,,,Y
,Belkin 3,5mm Stereo Audio kabel Sort,Kabler og stik Tilbehør ,Belkin 3,5mm Stereo Audio kabel Sort,Belkin 3,5mm Stereo Audio kabel Sort,249.000000,,,,,,,,Y
,Belkin 3,5mm Stereo Audio kabel Pink,Kabler og stik Tilbehør ,Belkin 3,5mm Stereo Audio kabel Pink,Belkin 3,5mm Stereo Audio kabel Pink,249.000000,,,,,,,,Y
,Belkin 3,5mm Stereo Audio kabel Hvid,Kabler og stik Tilbehør ,Belkin 3,5mm Stereo Audio kabel Hvid,Belkin 3,5mm Stereo Audio kabel Hvid,249.000000,,,,,,,,Y
,Belkin 3,5mm Stereo Audio kabel Rød,Kabler og stik Tilbehør ,Belkin 3,5mm Stereo Audio kabel Rød,Belkin 3,5mm Stereo Audio kabel Rød,249.000000,,,,,,,,Y
,Monkey Cable Concept minijack/2 x phono 3 meter,Kabler og stik Tilbehør ,Monkey Cable Concept minijack/2 x phono 3 meter,Monkey Cable Concept minijack/2 x phono 3 meter,129.000000,,,,,,,,Y
,eSTUFF Audio 3,5 mm splitter han til 2 x hun,Kabler og stik Tilbehør ,eSTUFF Audio 3,5 mm splitter han til 2 x hun,eSTUFF Audio 3,5 mm splitter han til 2 x hun,59.000000,,,,,,,,Y
,MicroConnect Adapter hun 3,5 mm/ hun 3,5 mm,Kabler og stik Tilbehør ,MicroConnect Adapter hun 3,5 mm/ hun 3,5 mm,MicroConnect Adapter hun 3,5 mm/ hun 3,5 mm,49.000000,,,,,,,,Y
,MicroConnect 3,5 mm 4-pin 0,5 m han/hun hvid,Kabler og stik Tilbehør ,MicroConnect 3,5 mm 4-pin 0,5 m han/hun hvid,MicroConnect 3,5 mm 4-pin 0,5 m han/hun hvid,59.000000,,,,,,,,Y
,eSTUFF Headset konverter til Apple produkter,Kabler og stik Tilbehør ,eSTUFF Headset konverter til Apple produkter,eSTUFF Headset konverter til Apple produkter,49.000000,,,,,,,,Y
,eSTUFF minijack/phono kabel 5m,Kabler og stik Tilbehør ,eSTUFF minijack/phono kabel 5m,eSTUFF minijack/phono kabel 5m,99.000000,,,,,,,,Y
,eSTUFF minijack/minijack kabel 2m,Kabler og stik Tilbehør ,eSTUFF minijack/minijack kabel 2m,eSTUFF minijack/minijack kabel 2m,69.000000,,,,,,,,Y
,beyerdynamic C- one Cable Standard - black,Kabler og stik Tilbehør ,beyerdynamic C- one Cable Standard - black,beyerdynamic C- one Cable Standard - black,109.000000,,,,,,,,Y
