Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Goal Zero Flip 10 Charcoal Grey,Strømforsyning Tilbehør ,Goal Zero Flip 10 Charcoal Grey,Goal Zero Flip 10 Charcoal Grey,249.000000,,,,,,,,Y
,Goal Zero Flip 10 Photo Blue,Strømforsyning Tilbehør ,Goal Zero Flip 10 Photo Blue,Goal Zero Flip 10 Photo Blue,249.000000,,,,,,,,Y
,Marshall Major II Bluetooth,Hovedtelefoner Mikrofon Street Wireless ,Marshall Major II Bluetooth,Marshall Major II Bluetooth,1199.000000,,,,,,,,Y
,Marshall Mode EQ Black and Brass,Hovedtelefoner In-Ear Mikrofon Street ,Marshall Mode EQ Black and Brass,Marshall Mode EQ Black and Brass,499.000000,,,,,,,,Y
,Urbanears Bagis Black,Hovedtelefoner In-Ear Mikrofon ,Urbanears Bagis Black,Urbanears Bagis Black,249.000000,,,,,,,,Y
,Urbanears Bagis White,Hovedtelefoner In-Ear Mikrofon ,Urbanears Bagis White,Urbanears Bagis White,249.000000,,,,,,,,Y
,Marshall Mode Black and White,Hovedtelefoner In-Ear Mikrofon Street ,Marshall Mode Black and White,Marshall Mode Black and White,399.000000,,,,,,,,Y
,Urbanears Plattan Bluetooth Caribbean,Hovedtelefoner Mikrofon Street Wireless ,Urbanears Plattan Bluetooth Caribbean,Urbanears Plattan Bluetooth Caribbean,799.000000,,,,,,,,Y
,Urbanears Plattan Bluetooth Bonfire Orange,Hovedtelefoner Mikrofon Street Wireless ,Urbanears Plattan Bluetooth Bonfire Orange,Urbanears Plattan Bluetooth Bonfire Orange,799.000000,,,,,,,,Y
,Urbanears Plattan Bluetooth Malibu,Hovedtelefoner Mikrofon Street Wireless ,Urbanears Plattan Bluetooth Malibu,Urbanears Plattan Bluetooth Malibu,799.000000,,,,,,,,Y
,Urbanears Plattan Bluetooth Camelia,Hovedtelefoner Mikrofon Street Wireless ,Urbanears Plattan Bluetooth Camelia,Urbanears Plattan Bluetooth Camelia,799.000000,,,,,,,,Y
,Urbanears Plattan Bluetooth Tomato,Hovedtelefoner Mikrofon Street Wireless ,Urbanears Plattan Bluetooth Tomato,Urbanears Plattan Bluetooth Tomato,799.000000,,,,,,,,Y
,Urbanears Plattan Bluetooth Flint Blue,Hovedtelefoner Mikrofon Street Wireless ,Urbanears Plattan Bluetooth Flint Blue,Urbanears Plattan Bluetooth Flint Blue,799.000000,,,,,,,,Y
,Urbanears Zinken Dark Gray,DJ Hovedtelefoner Street ,Urbanears Zinken Dark Gray,Urbanears Zinken Dark Gray,849.000000,,,,,,,,Y
,Urbanears Zinken Indigo,DJ Hovedtelefoner Street ,Urbanears Zinken Indigo,Urbanears Zinken Indigo,849.000000,,,,,,,,Y
,Urbanears Zinken Black,DJ Hovedtelefoner Street ,Urbanears Zinken Black,Urbanears Zinken Black,849.000000,,,,,,,,Y
